id;name;description;price;image;image_content_type
1;Айстра;Айстра вважається сумною квіткою. Вона символізує печаль, задумливість. Легенда каже, що айстра виросла на місці, де впала зірка. І нібито пізно вночі, якщо гарненько прислухатися, можна почути перешіптування айстр із зірками;30;../fake-data/blob/aistra.jpeg;image/jpeg
2;Волошка;Волошка несе довіру, веселощі, вірність, красу. Але дехто схильний вважати волошку символом нестабільності і мінливості, зважаючи на її здатність змінювати колір;25;../fake-data/blob/voloshka.jpg;image/jpg
3;Гвоздика;Символом чистоти і любові, витонченості і свободи, честі і відваги вважається гвоздика. Значення має колір гвоздики. Біла символізує життя заради любові, жовта — невіру, зневагу, плямиста, смугаста — відмову, червона —хоробрість;35;../fake-data/blob/hvozdyka.jpg;image/jpg
4;Гладіолус;Яке ж значення несе гладіолус? Насамперед це перемога, благородство, пам'ять, а іноді байдужість, замкнутість. Цікаво, що в Давньому Римі ця квітка було символом гладіаторів;30;../fake-data/blob/gladiolus.jpg;image/jpg
5;Жасмин;Мабуть, у більшості людей жасмин асоціюється з Японією та її культурою. І недаремно, там ця квітка є символом привітання, симпатії і приємних спогадів;50;../fake-data/blob/jasmine.jpg;image/jpg
6;Конвалія;Конвалія є улюбленою квіткою багатьох дівчат. Це недивно, адже подарована конвалія означає ніжність, вірність, щастя, любов, ласку і чистоту;30;../fake-data/blob/konvaliya.jpg;image/jpg
7;Лілія;Лілія означає жіночу досконалість, чисту душу, коштовність, свободу, надійність і мир;25;../fake-data/blob/lily.jpg;image/jpg
8;Нарцис;Не важко здогадатися, що нарцис свідчить про гордість, егоїзм, самозакоханість, але це не заважає йому разом з тим символізувати любов, щасливий шлюб, сміливість і силу;40;../fake-data/blob/narcis.jpg;image/jpg
9;Ромашка;Ромашка — думаю, ніхто не заперечить, що ця квіточка несе ніжність, вірність, гарний настрій. Одна з легенд розповідає, що колись ромашечки були зонтиками, і маленькі гноми ховалися під ними від дощу;25;../fake-data/blob/romashka.jpg;image/jpg
10;Троянда;Троянда — класичний символ кохання, великого, безмежного, вічного... Але у різних країнах і релігіях вона має суттєві відтінки значень;30;../fake-data/blob/rose.jpg;image/jpg
11;Тюльпан;Символом гордості, величі, задоволення і благородства є тюльпан. А ще побутує думка, що ця квітка приносить удачу;25;../fake-data/blob/tulip.jpg;image/jpg
